Raw Weather Data for La Canada Flintridge, CA
	Average Visibility
2004-07-01	10.0	BURBANK-GLENDALE-PAS
2004-07-02	9.8	BURBANK-GLENDALE-PAS
2004-07-03	7.0	BURBANK-GLENDALE-PAS
2004-07-04	5.7	BURBANK-GLENDALE-PAS
2004-07-05	4.8	BURBANK-GLENDALE-PAS
2004-07-06	6.6	BURBANK-GLENDALE-PAS
2004-07-07	6.9	BURBANK-GLENDALE-PAS
2004-07-08	6.7	BURBANK-GLENDALE-PAS
2004-07-09	8.2	BURBANK-GLENDALE-PAS
2004-07-10	9.8	BURBANK-GLENDALE-PAS
2004-07-11	10.0	BURBANK-GLENDALE-PAS
2004-07-12	9.7	BURBANK-GLENDALE-PAS
2004-07-13	9.8	BURBANK-GLENDALE-PAS
2004-07-14	10.0	BURBANK-GLENDALE-PAS
2004-07-15	10.0	BURBANK-GLENDALE-PAS
2004-07-16	10.0	BURBANK-GLENDALE-PAS
2004-07-17	10.0	BURBANK-GLENDALE-PAS
2004-07-18	10.0	BURBANK-GLENDALE-PAS
2004-07-19	10.0	BURBANK-GLENDALE-PAS
2004-07-20	10.0	BURBANK-GLENDALE-PAS
2004-07-21	10.0	BURBANK-GLENDALE-PAS
2004-07-22	8.7	BURBANK-GLENDALE-PAS
2004-07-23	6.5	BURBANK-GLENDALE-PAS
2004-07-24	7.7	BURBANK-GLENDALE-PAS
2004-07-25	9.9	BURBANK-GLENDALE-PAS
2004-07-26	9.8	BURBANK-GLENDALE-PAS
2004-07-27	6.9	BURBANK-GLENDALE-PAS
2004-07-28	6.1	BURBANK-GLENDALE-PAS
2004-07-29	6.1	BURBANK-GLENDALE-PAS
2004-07-30	8.3	BURBANK-GLENDALE-PAS
2004-07-31	6.0	BURBANK-GLENDALE-PAS
2004-08-01	5.6	BURBANK-GLENDALE-PAS
2004-08-02	7.6	BURBANK-GLENDALE-PAS
2004-08-03	8.0	BURBANK-GLENDALE-PAS
2004-08-04	8.3	BURBANK-GLENDALE-PAS
2004-08-05	6.7	BURBANK-GLENDALE-PAS
2004-08-06	6.9	BURBANK-GLENDALE-PAS
2004-08-07	10.0	BURBANK-GLENDALE-PAS
2004-08-08	9.4	BURBANK-GLENDALE-PAS
2004-08-09	9.9	BURBANK-GLENDALE-PAS
2004-08-10	10.0	BURBANK-GLENDALE-PAS
2004-08-11	9.8	BURBANK-GLENDALE-PAS
2004-08-12	8.0	BURBANK-GLENDALE-PAS
2004-08-13	7.7	BURBANK-GLENDALE-PAS
2004-08-14	9.3	BURBANK-GLENDALE-PAS
2004-08-15	8.9	BURBANK-GLENDALE-PAS
2004-08-16	6.0	BURBANK-GLENDALE-PAS
2004-08-17	4.5	BURBANK-GLENDALE-PAS
2004-08-18	5.2	BURBANK-GLENDALE-PAS
2004-08-19	6.6	BURBANK-GLENDALE-PAS
2004-08-20	7.8	BURBANK-GLENDALE-PAS
2004-08-21	6.5	BURBANK-GLENDALE-PAS
2004-08-22	7.6	BURBANK-GLENDALE-PAS
2004-08-23	9.9	BURBANK-GLENDALE-PAS
2004-08-24	9.6	BURBANK-GLENDALE-PAS
2004-08-25	9.0	BURBANK-GLENDALE-PAS
2004-08-26	6.4	BURBANK-GLENDALE-PAS
2004-08-27	6.2	BURBANK-GLENDALE-PAS
2004-08-28	7.5	BURBANK-GLENDALE-PAS
2004-08-29	5.6	BURBANK-GLENDALE-PAS
2004-08-30	6.4	BURBANK-GLENDALE-PAS
2004-08-31	9.2	BURBANK-GLENDALE-PAS
2004-09-01	9.8	BURBANK-GLENDALE-PAS
2004-09-02	9.5	BURBANK-GLENDALE-PAS
2004-09-03	9.3	BURBANK-GLENDALE-PAS
2004-09-04	7.7	BURBANK-GLENDALE-PAS
2004-09-05	10.0	BURBANK-GLENDALE-PAS
2004-09-06	10.0	BURBANK-GLENDALE-PAS
2004-09-07	9.8	BURBANK-GLENDALE-PAS
2004-09-08	9.9	BURBANK-GLENDALE-PAS
2004-09-09	9.7	BURBANK-GLENDALE-PAS
2004-09-10	9.6	BURBANK-GLENDALE-PAS
2004-09-11	9.9	BURBANK-GLENDALE-PAS
2004-09-12	10.0	BURBANK-GLENDALE-PAS
2004-09-13	7.5	BURBANK-GLENDALE-PAS
2004-09-14	9.8	BURBANK-GLENDALE-PAS
2004-09-15	8.4	BURBANK-GLENDALE-PAS
2004-09-16	6.5	BURBANK-GLENDALE-PAS
2004-09-17	5.9	BURBANK-GLENDALE-PAS
2004-09-18	6.2	BURBANK-GLENDALE-PAS
2004-09-19	9.5	BURBANK-GLENDALE-PAS
2004-09-20	10.0	BURBANK-GLENDALE-PAS
2004-09-21	10.0	BURBANK-GLENDALE-PAS
2004-09-22	10.0	BURBANK-GLENDALE-PAS
2004-09-23	10.0	BURBANK-GLENDALE-PAS
2004-09-24	9.9	BURBANK-GLENDALE-PAS
2004-09-25	9.5	BURBANK-GLENDALE-PAS
2004-09-26	8.9	BURBANK-GLENDALE-PAS
2004-09-27	3.9	BURBANK-GLENDALE-PAS
2004-09-28	4.3	BURBANK-GLENDALE-PAS
2004-09-29	8.3	BURBANK-GLENDALE-PAS
2004-09-30	9.9	BURBANK-GLENDALE-PAS
2004-10-01	8.7	BURBANK-GLENDALE-PAS
2004-10-02	8.5	BURBANK-GLENDALE-PAS
2004-10-03	6.6	BURBANK-GLENDALE-PAS
2004-10-04	6.7	BURBANK-GLENDALE-PAS
2004-10-05	6.9	BURBANK-GLENDALE-PAS
2004-10-06	7.2	BURBANK-GLENDALE-PAS
2004-10-07	2.9	BURBANK-GLENDALE-PAS
2004-10-08	7.3	BURBANK-GLENDALE-PAS
2004-10-09	5.1	BURBANK-GLENDALE-PAS
2004-10-10	7.8	BURBANK-GLENDALE-PAS
2004-10-11	9.6	BURBANK-GLENDALE-PAS
2004-10-12	7.4	BURBANK-GLENDALE-PAS
2004-10-13	6.2	BURBANK-GLENDALE-PAS
2004-10-14	7.4	BURBANK-GLENDALE-PAS
2004-10-15	5.2	BURBANK-GLENDALE-PAS
2004-10-16	4.8	BURBANK-GLENDALE-PAS
2004-10-17	8.7	BURBANK-GLENDALE-PAS
2004-10-18	8.6	BURBANK-GLENDALE-PAS
2004-10-19	9.3	BURBANK-GLENDALE-PAS
2004-10-20	5.3	BURBANK-GLENDALE-PAS
2004-10-21	10.0	BURBANK-GLENDALE-PAS
2004-10-22	10.0	BURBANK-GLENDALE-PAS
2004-10-23	9.9	BURBANK-GLENDALE-PAS
2004-10-24	8.9	BURBANK-GLENDALE-PAS
2004-10-25	8.3	BURBANK-GLENDALE-PAS
2004-10-26	9.5	BURBANK-GLENDALE-PAS
2004-10-27	6.4	BURBANK-GLENDALE-PAS
2004-10-28	9.9	BURBANK-GLENDALE-PAS
2004-10-29	10.0	BURBANK-GLENDALE-PAS
2004-10-30	10.0	BURBANK-GLENDALE-PAS
2004-10-31	10.0	BURBANK-GLENDALE-PAS
2004-11-01	10.0	BURBANK-GLENDALE-PAS
2004-11-02	10.0	BURBANK-GLENDALE-PAS
2004-11-03	9.8	BURBANK-GLENDALE-PAS
2004-11-04	10.0	BURBANK-GLENDALE-PAS
2004-11-05	10.0	BURBANK-GLENDALE-PAS
2004-11-06	10.0	BURBANK-GLENDALE-PAS
2004-11-07	9.5	BURBANK-GLENDALE-PAS
2004-11-08	9.4	BURBANK-GLENDALE-PAS
2004-11-09	8.4	BURBANK-GLENDALE-PAS
2004-11-10	9.1	BURBANK-GLENDALE-PAS
2004-11-11	9.6	BURBANK-GLENDALE-PAS
2004-11-12	9.3	BURBANK-GLENDALE-PAS
2004-11-13	9.3	BURBANK-GLENDALE-PAS
2004-11-14	8.7	BURBANK-GLENDALE-PAS
2004-11-15	10.0	BURBANK-GLENDALE-PAS
2004-11-16	10.0	BURBANK-GLENDALE-PAS
2004-11-17	9.8	BURBANK-GLENDALE-PAS
2004-11-18	9.5	BURBANK-GLENDALE-PAS
2004-11-19	8.0	BURBANK-GLENDALE-PAS
2004-11-20	3.9	BURBANK-GLENDALE-PAS
2004-11-21	9.3	BURBANK-GLENDALE-PAS
2004-11-22	10.0	BURBANK-GLENDALE-PAS
2004-11-23	9.8	BURBANK-GLENDALE-PAS
2004-11-24	8.7	BURBANK-GLENDALE-PAS
2004-11-25	9.3	BURBANK-GLENDALE-PAS
2004-11-26	4.8	BURBANK-GLENDALE-PAS
2004-11-27	4.0	BURBANK-GLENDALE-PAS
2004-11-28	9.2	BURBANK-GLENDALE-PAS
2004-11-29	10.0	BURBANK-GLENDALE-PAS
2004-11-30	10.0	BURBANK-GLENDALE-PAS
2004-12-01	10.0	BURBANK-GLENDALE-PAS
2004-12-02	10.0	BURBANK-GLENDALE-PAS
2004-12-03	10.0	BURBANK-GLENDALE-PAS
2004-12-04	9.9	BURBANK-GLENDALE-PAS
2004-12-05	8.4	BURBANK-GLENDALE-PAS
2004-12-06	7.6	BURBANK-GLENDALE-PAS
2004-12-07	8.9	BURBANK-GLENDALE-PAS
2004-12-08	7.2	BURBANK-GLENDALE-PAS
2004-12-09	6.9	BURBANK-GLENDALE-PAS
2004-12-10	9.2	BURBANK-GLENDALE-PAS
2004-12-11	10.0	BURBANK-GLENDALE-PAS
2004-12-12	7.1	BURBANK-GLENDALE-PAS
2004-12-13	3.6	BURBANK-GLENDALE-PAS
2004-12-14	9.0	BURBANK-GLENDALE-PAS
2004-12-15	10.0	BURBANK-GLENDALE-PAS
2004-12-16	10.0	BURBANK-GLENDALE-PAS
2004-12-17	10.0	BURBANK-GLENDALE-PAS
2004-12-18	10.0	BURBANK-GLENDALE-PAS
2004-12-19	10.0	BURBANK-GLENDALE-PAS
2004-12-20	9.8	BURBANK-GLENDALE-PAS
2004-12-21	7.6	BURBANK-GLENDALE-PAS
2004-12-22	8.4	BURBANK-GLENDALE-PAS
2004-12-23	10.0	BURBANK-GLENDALE-PAS
2004-12-24	10.0	BURBANK-GLENDALE-PAS
2004-12-25	9.7	BURBANK-GLENDALE-PAS
2004-12-26	8.7	BURBANK-GLENDALE-PAS
2004-12-27	6.8	BURBANK-GLENDALE-PAS
2004-12-28	6.6	BURBANK-GLENDALE-PAS
2004-12-29	5.7	BURBANK-GLENDALE-PAS
2004-12-30	9.2	BURBANK-GLENDALE-PAS
2004-12-31	8.2	BURBANK-GLENDALE-PAS
2005-01-01	7.8	BURBANK-GLENDALE-PAS
2005-01-02	9.0	BURBANK-GLENDALE-PAS
2005-01-03	7.0	BURBANK-GLENDALE-PAS
2005-01-04	9.7	BURBANK-GLENDALE-PAS
2005-01-05	9.2	BURBANK-GLENDALE-PAS
2005-01-06	10.0	BURBANK-GLENDALE-PAS
2005-01-07	7.0	BURBANK-GLENDALE-PAS
2005-01-08	5.2	BURBANK-GLENDALE-PAS
2005-01-09	2.8	BURBANK-GLENDALE-PAS
2005-01-10	2.9	BURBANK-GLENDALE-PAS
2005-01-11	7.0	BURBANK-GLENDALE-PAS
2005-01-12	10.0	BURBANK-GLENDALE-PAS
2005-01-13	10.0	BURBANK-GLENDALE-PAS
2005-01-14	10.0	BURBANK-GLENDALE-PAS
2005-01-15	10.0	BURBANK-GLENDALE-PAS
2005-01-16	10.0	BURBANK-GLENDALE-PAS
2005-01-17	10.0	BURBANK-GLENDALE-PAS
2005-01-18	10.0	BURBANK-GLENDALE-PAS
2005-01-19	10.0	BURBANK-GLENDALE-PAS
2005-01-20	10.0	BURBANK-GLENDALE-PAS
2005-01-21	9.4	BURBANK-GLENDALE-PAS
2005-01-22	6.5	BURBANK-GLENDALE-PAS
2005-01-23	8.3	BURBANK-GLENDALE-PAS
2005-01-24	8.7	BURBANK-GLENDALE-PAS
2005-01-25	5.8	BURBANK-GLENDALE-PAS
2005-01-26	6.2	BURBANK-GLENDALE-PAS
2005-01-27	10.0	BURBANK-GLENDALE-PAS
2005-01-28	8.9	BURBANK-GLENDALE-PAS
2005-01-29	9.9	BURBANK-GLENDALE-PAS
2005-01-30	10.0	BURBANK-GLENDALE-PAS
2005-01-31	10.0	BURBANK-GLENDALE-PAS
2005-02-01	10.0	BURBANK-GLENDALE-PAS
2005-02-02	10.0	BURBANK-GLENDALE-PAS
2005-02-03	10.0	BURBANK-GLENDALE-PAS
2005-02-04	10.0	BURBANK-GLENDALE-PAS
2005-02-05	10.0	BURBANK-GLENDALE-PAS
2005-02-06	8.4	BURBANK-GLENDALE-PAS
2005-02-07	9.8	BURBANK-GLENDALE-PAS
2005-02-08	9.2	BURBANK-GLENDALE-PAS
2005-02-09	9.8	BURBANK-GLENDALE-PAS
2005-02-10	10.0	BURBANK-GLENDALE-PAS
2005-02-11	6.5	BURBANK-GLENDALE-PAS
2005-02-12	8.9	BURBANK-GLENDALE-PAS
2005-02-13	7.7	BURBANK-GLENDALE-PAS
2005-02-14	10.0	BURBANK-GLENDALE-PAS
2005-02-15	10.0	BURBANK-GLENDALE-PAS
2005-02-16	9.7	BURBANK-GLENDALE-PAS
2005-02-17	9.8	BURBANK-GLENDALE-PAS
2005-02-18	6.9	BURBANK-GLENDALE-PAS
2005-02-19	6.7	BURBANK-GLENDALE-PAS
2005-02-20	8.0	BURBANK-GLENDALE-PAS
2005-02-21	6.3	BURBANK-GLENDALE-PAS
2005-02-22	8.4	BURBANK-GLENDALE-PAS
2005-02-23	8.4	BURBANK-GLENDALE-PAS
2005-02-24	8.3	BURBANK-GLENDALE-PAS
2005-02-25	6.3	BURBANK-GLENDALE-PAS
2005-02-26	7.3	BURBANK-GLENDALE-PAS
2005-02-27	9.3	BURBANK-GLENDALE-PAS
2005-02-28	8.8	BURBANK-GLENDALE-PAS
2005-03-01	9.7	BURBANK-GLENDALE-PAS
2005-03-02	9.1	BURBANK-GLENDALE-PAS
2005-03-03	7.3	BURBANK-GLENDALE-PAS
2005-03-04	7.8	BURBANK-GLENDALE-PAS
2005-03-05	10.0	BURBANK-GLENDALE-PAS
2005-03-06	8.0	BURBANK-GLENDALE-PAS
2005-03-07	7.6	BURBANK-GLENDALE-PAS
2005-03-08	3.3	BURBANK-GLENDALE-PAS
2005-03-09	2.3	BURBANK-GLENDALE-PAS
2005-03-10	2.5	BURBANK-GLENDALE-PAS
2005-03-11	2.1	BURBANK-GLENDALE-PAS
2005-03-12	3.0	BURBANK-GLENDALE-PAS
2005-03-13	6.4	BURBANK-GLENDALE-PAS
2005-03-14	7.7	BURBANK-GLENDALE-PAS
2005-03-15	10.0	BURBANK-GLENDALE-PAS
2005-03-16	10.0	BURBANK-GLENDALE-PAS
2005-03-17	9.5	BURBANK-GLENDALE-PAS
2005-03-18	8.5	BURBANK-GLENDALE-PAS
2005-03-19	7.9	BURBANK-GLENDALE-PAS
2005-03-20	9.7	BURBANK-GLENDALE-PAS
2005-03-21	10.0	BURBANK-GLENDALE-PAS
2005-03-22	9.1	BURBANK-GLENDALE-PAS
2005-03-23	8.4	BURBANK-GLENDALE-PAS
2005-03-24	10.0	BURBANK-GLENDALE-PAS
2005-03-25	10.0	BURBANK-GLENDALE-PAS
2005-03-26	10.0	BURBANK-GLENDALE-PAS
2005-03-27	10.0	BURBANK-GLENDALE-PAS
2005-03-28	9.2	BURBANK-GLENDALE-PAS
2005-03-29	10.0	BURBANK-GLENDALE-PAS
2005-03-30	10.0	BURBANK-GLENDALE-PAS
2005-03-31	10.0	BURBANK-GLENDALE-PAS
2005-04-01	10.0	BURBANK-GLENDALE-PAS
2005-04-02	10.0	BURBANK-GLENDALE-PAS
2005-04-03	9.2	BURBANK-GLENDALE-PAS
2005-04-04	9.8	BURBANK-GLENDALE-PAS
2005-04-05	10.0	BURBANK-GLENDALE-PAS
2005-04-06	10.0	BURBANK-GLENDALE-PAS
2005-04-07	9.8	BURBANK-GLENDALE-PAS
2005-04-08	10.0	BURBANK-GLENDALE-PAS
2005-04-09	10.0	BURBANK-GLENDALE-PAS
2005-04-10	10.0	BURBANK-GLENDALE-PAS
2005-04-11	10.0	BURBANK-GLENDALE-PAS
2005-04-12	10.0	BURBANK-GLENDALE-PAS
2005-04-13	9.3	BURBANK-GLENDALE-PAS
2005-04-14	9.9	BURBANK-GLENDALE-PAS
2005-04-15	9.7	BURBANK-GLENDALE-PAS
2005-04-16	9.5	BURBANK-GLENDALE-PAS
2005-04-17	8.9	BURBANK-GLENDALE-PAS
2005-04-18	6.3	BURBANK-GLENDALE-PAS
2005-04-19	8.4	BURBANK-GLENDALE-PAS
2005-04-20	9.8	BURBANK-GLENDALE-PAS
2005-04-21	10.0	BURBANK-GLENDALE-PAS
2005-04-22	9.9	BURBANK-GLENDALE-PAS
2005-04-23	9.8	BURBANK-GLENDALE-PAS
2005-04-24	9.8	BURBANK-GLENDALE-PAS
2005-04-25	9.5	BURBANK-GLENDALE-PAS
2005-04-26	9.5	BURBANK-GLENDALE-PAS
2005-04-27	8.5	BURBANK-GLENDALE-PAS
2005-04-28	8.6	BURBANK-GLENDALE-PAS
2005-04-29	10.0	BURBANK-GLENDALE-PAS
2005-04-30	10.0	BURBANK-GLENDALE-PAS
2005-05-01	8.9	BURBANK-GLENDALE-PAS
2005-05-02	10.0	BURBANK-GLENDALE-PAS
2005-05-03	8.5	BURBANK-GLENDALE-PAS
2005-05-04	5.7	BURBANK-GLENDALE-PAS
2005-05-05	7.3	BURBANK-GLENDALE-PAS
2005-05-06	9.2	BURBANK-GLENDALE-PAS
2005-05-07	10.0	BURBANK-GLENDALE-PAS
2005-05-08	9.7	BURBANK-GLENDALE-PAS
2005-05-09	9.0	BURBANK-GLENDALE-PAS
2005-05-10	10.0	BURBANK-GLENDALE-PAS
2005-05-11	10.0	BURBANK-GLENDALE-PAS
2005-05-12	10.0	BURBANK-GLENDALE-PAS
2005-05-13	10.0	BURBANK-GLENDALE-PAS
2005-05-14	10.0	BURBANK-GLENDALE-PAS
2005-05-15	9.5	BURBANK-GLENDALE-PAS
2005-05-16	6.3	BURBANK-GLENDALE-PAS
2005-05-17	9.0	BURBANK-GLENDALE-PAS
2005-05-18	9.4	BURBANK-GLENDALE-PAS
2005-05-19	10.0	BURBANK-GLENDALE-PAS
2005-05-20	10.0	BURBANK-GLENDALE-PAS
2005-05-21	10.0	BURBANK-GLENDALE-PAS
2005-05-22	10.0	BURBANK-GLENDALE-PAS
2005-05-23	5.5	BURBANK-GLENDALE-PAS
2005-05-24	4.9	BURBANK-GLENDALE-PAS
2005-05-25	4.9	BURBANK-GLENDALE-PAS
2005-05-26	4.4	BURBANK-GLENDALE-PAS
2005-05-27	4.0	BURBANK-GLENDALE-PAS
2005-05-28	5.8	BURBANK-GLENDALE-PAS
2005-05-29	6.6	BURBANK-GLENDALE-PAS
2005-05-30	9.9	BURBANK-GLENDALE-PAS
2005-05-31	7.6	BURBANK-GLENDALE-PAS
2005-06-01	5.4	BURBANK-GLENDALE-PAS
2005-06-02	7.8	BURBANK-GLENDALE-PAS
2005-06-03	9.7	BURBANK-GLENDALE-PAS
2005-06-04	7.4	BURBANK-GLENDALE-PAS
2005-06-05	6.9	BURBANK-GLENDALE-PAS
2005-06-06	9.8	BURBANK-GLENDALE-PAS
2005-06-07	10.0	BURBANK-GLENDALE-PAS
2005-06-08	10.0	BURBANK-GLENDALE-PAS
2005-06-09	9.8	BURBANK-GLENDALE-PAS
2005-06-10	7.6	BURBANK-GLENDALE-PAS
2005-06-11	6.5	BURBANK-GLENDALE-PAS
2005-06-12	7.0	BURBANK-GLENDALE-PAS
2005-06-13	6.6	BURBANK-GLENDALE-PAS
2005-06-14	5.0	BURBANK-GLENDALE-PAS
2005-06-15	5.8	BURBANK-GLENDALE-PAS
2005-06-16	6.9	BURBANK-GLENDALE-PAS
2005-06-17	10.0	BURBANK-GLENDALE-PAS
2005-06-18	10.0	BURBANK-GLENDALE-PAS
2005-06-19	9.9	BURBANK-GLENDALE-PAS
2005-06-20	10.0	BURBANK-GLENDALE-PAS
2005-06-21	9.9	BURBANK-GLENDALE-PAS
2005-06-22	10.0	BURBANK-GLENDALE-PAS
2005-06-23	9.7	BURBANK-GLENDALE-PAS
2005-06-24	10.0	BURBANK-GLENDALE-PAS
2005-06-25	9.7	BURBANK-GLENDALE-PAS
2005-06-26	9.3	BURBANK-GLENDALE-PAS
2005-06-27	7.3	BURBANK-GLENDALE-PAS
2005-06-28	7.8	BURBANK-GLENDALE-PAS
2005-06-29	9.3	BURBANK-GLENDALE-PAS
2005-06-30	7.4	BURBANK-GLENDALE-PAS
2005-07-01	5.5	BURBANK-GLENDALE-PAS
2005-07-02	5.3	BURBANK-GLENDALE-PAS
2005-07-03	5.2	BURBANK-GLENDALE-PAS
2005-07-04	5.1	BURBANK-GLENDALE-PAS
2005-07-05	4.4	BURBANK-GLENDALE-PAS
2005-07-06	7.4	BURBANK-GLENDALE-PAS
2005-07-07	6.6	BURBANK-GLENDALE-PAS
2005-07-08	7.4	BURBANK-GLENDALE-PAS
2005-07-09	5.9	BURBANK-GLENDALE-PAS
2005-07-10	5.6	BURBANK-GLENDALE-PAS
2005-07-11	5.4	BURBANK-GLENDALE-PAS
2005-07-12	4.9	BURBANK-GLENDALE-PAS
2005-07-13	7.2	BURBANK-GLENDALE-PAS
2005-07-14	9.2	BURBANK-GLENDALE-PAS
2005-07-15	6.8	BURBANK-GLENDALE-PAS
2005-07-16	4.7	BURBANK-GLENDALE-PAS
2005-07-17	5.6	BURBANK-GLENDALE-PAS
2005-07-18	6.7	BURBANK-GLENDALE-PAS
2005-07-19	8.7	BURBANK-GLENDALE-PAS
2005-07-20	9.9	BURBANK-GLENDALE-PAS
2005-07-21	10.0	BURBANK-GLENDALE-PAS
2005-07-22	9.9	BURBANK-GLENDALE-PAS
2005-07-23	9.9	BURBANK-GLENDALE-PAS
2005-07-24	9.9	BURBANK-GLENDALE-PAS
2005-07-25	9.9	BURBANK-GLENDALE-PAS
2005-07-26	9.6	BURBANK-GLENDALE-PAS
2005-07-27	8.8	BURBANK-GLENDALE-PAS
2005-07-28	9.3	BURBANK-GLENDALE-PAS
2005-07-29	9.8	BURBANK-GLENDALE-PAS
2005-07-30	9.8	BURBANK-GLENDALE-PAS
2005-07-31	9.9	BURBANK-GLENDALE-PAS
2005-08-01	7.8	BURBANK-GLENDALE-PAS
2005-08-02	5.3	BURBANK-GLENDALE-PAS
2005-08-03	5.5	BURBANK-GLENDALE-PAS
2005-08-04	6.1	BURBANK-GLENDALE-PAS
2005-08-05	6.7	BURBANK-GLENDALE-PAS
2005-08-06	8.2	BURBANK-GLENDALE-PAS
2005-08-07	6.7	BURBANK-GLENDALE-PAS
2005-08-08	8.0	BURBANK-GLENDALE-PAS
2005-08-09	8.9	BURBANK-GLENDALE-PAS
2005-08-10	8.0	BURBANK-GLENDALE-PAS
2005-08-11	6.0	BURBANK-GLENDALE-PAS
2005-08-12	4.8	BURBANK-GLENDALE-PAS
2005-08-13	5.0	BURBANK-GLENDALE-PAS
2005-08-14	6.0	BURBANK-GLENDALE-PAS
2005-08-15	7.4	BURBANK-GLENDALE-PAS
2005-08-16	7.8	BURBANK-GLENDALE-PAS
2005-08-17	8.8	BURBANK-GLENDALE-PAS
2005-08-18	6.4	BURBANK-GLENDALE-PAS
2005-08-19	8.0	BURBANK-GLENDALE-PAS
2005-08-20	7.0	BURBANK-GLENDALE-PAS
2005-08-21	7.0	BURBANK-GLENDALE-PAS
2005-08-22	9.3	BURBANK-GLENDALE-PAS
2005-08-23	6.0	BURBANK-GLENDALE-PAS
2005-08-24	5.6	BURBANK-GLENDALE-PAS
2005-08-25	8.8	BURBANK-GLENDALE-PAS
2005-08-26	10.0	BURBANK-GLENDALE-PAS
2005-08-27	9.8	BURBANK-GLENDALE-PAS
2005-08-28	10.0	BURBANK-GLENDALE-PAS
2005-08-29	9.0	BURBANK-GLENDALE-PAS
2005-08-30	9.2	BURBANK-GLENDALE-PAS
2005-08-31	6.0	BURBANK-GLENDALE-PAS
2005-09-01	6.9	BURBANK-GLENDALE-PAS
2005-09-02	6.9	BURBANK-GLENDALE-PAS
2005-09-03	7.4	BURBANK-GLENDALE-PAS
2005-09-04	8.2	BURBANK-GLENDALE-PAS
2005-09-05	10.0	BURBANK-GLENDALE-PAS
2005-09-06	9.9	BURBANK-GLENDALE-PAS
2005-09-07	10.0	BURBANK-GLENDALE-PAS
2005-09-08	9.4	BURBANK-GLENDALE-PAS
2005-09-09	9.7	BURBANK-GLENDALE-PAS
2005-09-10	9.9	BURBANK-GLENDALE-PAS
2005-09-11	9.9	BURBANK-GLENDALE-PAS
2005-09-12	9.6	BURBANK-GLENDALE-PAS
2005-09-13	9.2	BURBANK-GLENDALE-PAS
2005-09-14	9.1	BURBANK-GLENDALE-PAS
2005-09-15	7.4	BURBANK-GLENDALE-PAS
2005-09-16	6.5	BURBANK-GLENDALE-PAS
2005-09-17	6.2	BURBANK-GLENDALE-PAS
2005-09-18	6.1	BURBANK-GLENDALE-PAS
2005-09-19	4.5	BURBANK-GLENDALE-PAS
2005-09-20	7.9	BURBANK-GLENDALE-PAS
2005-09-21	8.1	BURBANK-GLENDALE-PAS
2005-09-22	9.7	BURBANK-GLENDALE-PAS
2005-09-23	5.0	BURBANK-GLENDALE-PAS
2005-09-24	3.9	BURBANK-GLENDALE-PAS
2005-09-25	7.4	BURBANK-GLENDALE-PAS
2005-09-26	8.3	BURBANK-GLENDALE-PAS
2005-09-27	10.0	BURBANK-GLENDALE-PAS
2005-09-28	9.8	BURBANK-GLENDALE-PAS
2005-09-29	10.0	BURBANK-GLENDALE-PAS
2005-09-30	7.8	BURBANK-GLENDALE-PAS
2005-10-01	8.4	BURBANK-GLENDALE-PAS
2005-10-02	5.1	BURBANK-GLENDALE-PAS
2005-10-03	6.1	BURBANK-GLENDALE-PAS
2005-10-04	10.0	BURBANK-GLENDALE-PAS
2005-10-05	10.0	BURBANK-GLENDALE-PAS
2005-10-06	10.0	BURBANK-GLENDALE-PAS
2005-10-07	10.0	BURBANK-GLENDALE-PAS
2005-10-08	8.0	BURBANK-GLENDALE-PAS
2005-10-09	8.0	BURBANK-GLENDALE-PAS
2005-10-10	9.5	BURBANK-GLENDALE-PAS
2005-10-11	8.5	BURBANK-GLENDALE-PAS
2005-10-12	8.0	BURBANK-GLENDALE-PAS
2005-10-13	9.0	BURBANK-GLENDALE-PAS
2005-10-14	10.0	BURBANK-GLENDALE-PAS
2005-10-15	9.9	BURBANK-GLENDALE-PAS
2005-10-16	10.0	BURBANK-GLENDALE-PAS
2005-10-17	7.5	BURBANK-GLENDALE-PAS
2005-10-18	9.2	BURBANK-GLENDALE-PAS
2005-10-19	7.2	BURBANK-GLENDALE-PAS
2005-10-20	6.8	BURBANK-GLENDALE-PAS
2005-10-21	2.3	BURBANK-GLENDALE-PAS
2005-10-22	2.6	BURBANK-GLENDALE-PAS
2005-10-23	3.3	BURBANK-GLENDALE-PAS
2005-10-24	3.2	BURBANK-GLENDALE-PAS
2005-10-25	7.0	BURBANK-GLENDALE-PAS
2006-01-11	9.9	BURBANK-GLENDALE-PAS
2006-01-12	9.3	BURBANK-GLENDALE-PAS
2006-01-13	9.3	BURBANK-GLENDALE-PAS
2006-01-14	5.0	BURBANK-GLENDALE-PAS
2006-01-18	10.0	BURBANK-GLENDALE-PAS
2006-01-21	10.0	BURBANK-GLENDALE-PAS
2006-02-19	9.2	BURBANK-GLENDALE-PAS
2006-02-20	10.0	BURBANK-GLENDALE-PAS
2006-03-09	10.0	BURBANK-GLENDALE-PAS
2006-03-16	10.0	BURBANK-GLENDALE-PAS
2006-03-17	9.1	BURBANK-GLENDALE-PAS
2006-03-24	10.0	BURBANK-GLENDALE-PAS
2006-04-16	9.1	BURBANK-GLENDALE-PAS
2006-04-19	10.0	BURBANK-GLENDALE-PAS
2006-04-20	10.0	BURBANK-GLENDALE-PAS
2006-04-23	10.0	BURBANK-GLENDALE-PAS
